"","species","lat","lon","Pb"
"191","Pyrus bourgaeana",37.795737,-5.978717,1
"192","Pyrus bourgaeana",37.772432,-5.924261,1
"193","Pyrus bourgaeana",37.775583,-5.903952,1
"194","Pyrus bourgaeana",37.774742,-5.934602,1
"195","Pyrus bourgaeana",37.757729,-5.941919,1
"196","Pyrus bourgaeana",37.762029,-5.950102,1
"197","Pyrus bourgaeana",37.72871,-6.098907,1
"198","Pyrus bourgaeana",37.734587,-6.090916,1
"199","Pyrus bourgaeana",37.718011,-6.121588,1
"200","Pyrus bourgaeana",37.73752,-6.118414,1
"201","Pyrus bourgaeana",37.752974,-6.126836,1
"202","Pyrus bourgaeana",37.749428,-6.137194,1
"203","Pyrus bourgaeana",37.65771,-6.096586,1
"204","Pyrus bourgaeana",37.772785,-6.112291,1
"205","Pyrus bourgaeana",37.763644,-6.071289,1
"206","Pyrus bourgaeana",37.732361,-6.070937,1
"207","Pyrus bourgaeana",37.763321,-5.979311,1
"208","Pyrus bourgaeana",37.771176,-5.955801,1
"209","Pyrus bourgaeana",37.751473,-5.980027,1
"210","Pyrus bourgaeana",37.684867,-6.036279,1
"211","Pyrus bourgaeana",37.435735,-7.122424,1
"212","Pyrus bourgaeana",37.740902,-6.599754,1
"213","Pyrus bourgaeana",38.056213,-4.289399,1
"214","Pyrus bourgaeana",37.293185,-7.077057,1
"215","Pyrus bourgaeana",37.438606,-7.121463,1
"216","Pyrus bourgaeana",37.781072,-5.943458,1
"217","Pyrus bourgaeana",37.785233,-5.935585,1
"218","Pyrus bourgaeana",37.789392,-5.942948,1
"219","Pyrus bourgaeana",37.732807,-5.77013,1
"220","Pyrus bourgaeana",37.741797,-5.772564,1
"221","Pyrus bourgaeana",37.738181,-5.770387,1
"222","Pyrus bourgaeana",37.763233,-5.776372,1
"223","Pyrus bourgaeana",37.764707,-6.002781,1
"224","Pyrus bourgaeana",37.764912,-6.00288,1
"225","Pyrus bourgaeana",37.782004,-6.012075,1
"226","Pyrus bourgaeana",37.786656,-6.012321,1
"227","Pyrus bourgaeana",37.788754,-6.009204,1
"228","Pyrus bourgaeana",37.789196,-5.998561,1
"229","Pyrus bourgaeana",37.782159,-5.978694,1
"230","Pyrus bourgaeana",37.78684,-5.793946,1
"231","Pyrus bourgaeana",37.844556,-5.210864,1
"232","Pyrus bourgaeana",37.85541,-5.197618,1
"233","Pyrus bourgaeana",37.839124,-5.153819,1
"234","Pyrus bourgaeana",37.90002,-5.086983,1
"235","Pyrus bourgaeana",37.919621,-5.100596,1
"236","Pyrus bourgaeana",37.872253,-5.086609,1
"237","Pyrus bourgaeana",37.839209,-5.077825,1
"238","Pyrus bourgaeana",38.125861,-5.837538,1
"239","Pyrus bourgaeana",38.04,-6.2,1
"240","Pyrus bourgaeana",38.15,-6.77,1
"241","Pyrus bourgaeana",38.370013,-4.347473,1
"242","Pyrus bourgaeana",38.464742,-4.651817,1
"243","Pyrus bourgaeana",38.523756,-4.662662,1
"244","Pyrus bourgaeana",38.499322,-5.003933,1
"245","Pyrus bourgaeana",38.529481,-4.899038,1
"246","Pyrus bourgaeana",39.76,-5.62,1
"247","Pyrus bourgaeana",39.85,-5.63,1
"248","Pyrus bourgaeana",39.05,-6.74,1
"250","Pyrus bourgaeana",38.338158,-2.93159,1
"251","Pyrus bourgaeana",37.799898,-6.435515,1
"252","Pyrus bourgaeana",37.78764,-6.407214,1
"253","Pyrus bourgaeana",38.329252,-4.435759,1
"254","Pyrus bourgaeana",38.329139,-4.455903,1
"255","Pyrus bourgaeana",38.312721,-4.552759,1
"256","Pyrus bourgaeana",38.380985,-4.507748,1
"257","Pyrus bourgaeana",37.738112,-5.277605,1
"258","Pyrus bourgaeana",38.080437,-5.638258,1
"259","Pyrus bourgaeana",37.73,-6.69,1
"260","Pyrus bourgaeana",38.463391,-2.894642,1
"261","Pyrus bourgaeana",38.291856,-3.00689,1
"262","Pyrus bourgaeana",37.665159,-6.195899,1
"263","Pyrus bourgaeana",37.658912,-6.383889,1
"264","Pyrus bourgaeana",38.056217,-5.737896,1
"265","Pyrus bourgaeana",38.070372,-5.772855,1
"266","Pyrus bourgaeana",37.666806,-6.316654,1
"267","Pyrus bourgaeana",37.667203,-6.316626,1
"268","Pyrus bourgaeana",37.664571,-6.325632,1
"269","Pyrus bourgaeana",37.65501,-6.32984,1
"270","Pyrus bourgaeana",37.652437,-6.320445,1
"271","Pyrus bourgaeana",37.664169,-6.268494,1
"272","Pyrus bourgaeana",37.656668,-6.411109,1
"273","Pyrus bourgaeana",37.635981,-6.298447,1
"274","Pyrus bourgaeana",38.423638,-5.173381,1
"275","Pyrus bourgaeana",39.4,-6.5,1
"276","Pyrus bourgaeana",37.59,-6.54,1
"277","Pyrus bourgaeana",37.76,-6.56,1
"278","Pyrus bourgaeana",38.475383,-2.857308,1
"279","Pyrus bourgaeana",37.151574,-6.362102,1
"280","Pyrus bourgaeana",37.141029,-6.403884,1
"281","Pyrus bourgaeana",37.615979,-6.67391,1
"282","Pyrus bourgaeana",37.619761,-6.669623,1
"283","Pyrus bourgaeana",37.626106,-6.665167,1
"284","Pyrus bourgaeana",37.620618,-6.663187,1
"285","Pyrus bourgaeana",37.472218,-7.04004,1
"286","Pyrus bourgaeana",37.46127,-7.035145,1
"287","Pyrus bourgaeana",37.469599,-7.09332,1
"288","Pyrus bourgaeana",37.477566,-7.17851,1
"289","Pyrus bourgaeana",37.486578,-7.076421,1
"290","Pyrus bourgaeana",37.491948,-7.064109,1
"291","Pyrus bourgaeana",37.462919,-6.978607,1
"292","Pyrus bourgaeana",37.67031,-6.438017,1
"293","Pyrus bourgaeana",37.497589,-7.007412,1
"294","Pyrus bourgaeana",36.853,-5.058,1
"295","Pyrus bourgaeana",37.427694,-7.272278,1
"296","Pyrus bourgaeana",37.718292,-6.517389,1
"297","Pyrus bourgaeana",36.916977,-5.890352,1
"298","Pyrus bourgaeana",37.4255,-7.232184,1
"299","Pyrus bourgaeana",37.50234,-7.20022,1
"300","Pyrus bourgaeana",37.672879,-6.296703,1
"301","Pyrus bourgaeana",37.691217,-6.474672,1
"302","Pyrus bourgaeana",37.716136,-6.456013,1
"303","Pyrus bourgaeana",37.529941,-6.98814,1
"304","Pyrus bourgaeana",37.594654,-6.144076,1
"305","Pyrus bourgaeana",36.877,-4.655,1
"306","Pyrus bourgaeana",37.533961,-7.113715,1
"307","Pyrus bourgaeana",38.144081,-4.527054,1
"308","Pyrus bourgaeana",37.152251,-6.40934,1
"309","Pyrus bourgaeana",38.136972,-4.596073,1
"310","Pyrus bourgaeana",37.88,-6.78,1
"311","Pyrus bourgaeana",37.761488,-5.373521,1
"312","Pyrus bourgaeana",38.009737,-4.91403,1
