Pb,lon,lat
1,-6.440676,36.983051
1,-6.888201,37.765323
1,-5.988565,37.639224
1,-6.732066,37.783231
1,-6.630018,37.733442
1,-6.755394,37.678956
1,-6.996163,37.708167
1,-7.046756,37.810782
1,-7.055806,37.943266
1,-6.202265,37.73883
1,-6.64497,37.221873
1,-3.773244,38.381435
1,-3.651102,38.359286
1,-5.283729,38.13945
1,-3.526413,38.321313
1,-3.744623,38.216931
1,-5.002564,38.231204
1,-5.600373,37.680781
1,-5.299552,38.262454
1,-5.131297,38.161337
1,-4.834378,38.226708
1,-4.909902,38.141508
1,-5.518502,37.809021
1,-5.480988,36.982875
1,-4.126807,38.333725
1,-3.89,40.39
1,-3.853988,38.152117
1,-7.07729,37.248651
1,-4.926408,37.901962
1,-3.954278,38.279345
1,-3.85,38.49
1,-6.85,39.14
1,-4.016778,38.361045
1,-6.76,38.51
1,-7.1167,39.35
1,-5.4141,38.6418
1,-4.90721,36.63549
1,-6.914671,37.862793
1,-5.566722,36.041906
1,-7.148715,37.859113
1,-4.047,40.687
1,-4.593787,38.035917
1,-3.9,38.83
1,-6.87,38.78
1,-4.264759,38.325262
1,-6.947816,38.087534
1,-6.920037,37.991641
1,-6.649244,37.874291
1,-6.617065,37.996152
1,-6.727649,37.970851
1,-6.33576,37.813524
1,-5.822775,37.908477
1,-6.312505,37.944465
1,-6.133542,37.839741
1,-4.78,36.93
1,-6.430574,37.885394
1,-5.556868,37.991383
1,-4.541,40.2243
1,-5.853447,38.11497
1,-6.5286,41.9374
1,-5.297596,36.273884
1,-4.3086,40.3623
1,-5.157,37.157
1,-4.9672,39.1007
1,-5.298075,37.909165
1,-2.52,38.5
1,-5.4,36.79
1,-3.37,40.77
1,-5.404292,37.968876
1,-4.42,39.02
1,-5,38.43
1,-5.47,38.51
1,-5.608,36.518
1,-4.41,38.05
1,-3.4102,37.8098
1,-5.89,37.69
1,-6.01,40.029999
1,-6.1,38.7
1,-6.6,38.4
1,-6.6,38.5
1,-6.92,42.970001
1,-7,40.27
1,-6.85,40.209999
1,-5.77,40.060001
1,-6.07,40.630001
1,-4.28,38.450001
1,-2.74115844662118,38.6087921901123
1,-3.63116949619607,38.2587766183864
1,-5.29117358347819,36.6187313809849
1,-6.15119028254355,36.6987238362998
1,-5.86118653272964,36.7887282929503
1,-5.62117653756571,36.4287249404801
1,-5.84117906603324,36.3387212530994
1,-5.50117017768633,36.1587218810372
1,-6.78122082630495,37.8787370156827
1,-6.35120402617808,37.3287321535186
1,-5.31118109845279,37.0687385856053
1,-5.88119706808507,37.418738573305
1,-6.23120483547343,37.508736450376
1,-4.99119161020144,38.0687591251422
1,-5.10118898568434,37.7887530515681
1,-4.22119581162393,39.1587871877283
1,-4.57121007713607,39.5987919358508
1,-6.49124700421347,39.6787729462697
1,-6.71125924083535,40.1287792863184
1,-6.27125451928359,40.3087876249201
1,-6.38124175877203,39.4987706953759
1,-5.51122901603211,39.6787834815434
1,-6.73124649707542,39.4087652189618
1,-5.34125933163198,41.4788217603107
1,-5.82126992580814,41.5588181927461
1,-5.26121484030272,39.1387758493725
1,-5.14121419403714,39.2287788180183
1,-2.12117124096525,40.058826686513
1,-4.02123449738067,41.4988365100419
1,-5.41118002922987,36.888734569141
1,-4.45120483186026,39.4287899241201
1,-5.23117455111394,36.7487341157363
1,-6.77122828701379,38.3287450105244
1,-6.42122354498527,38.4187503330917
1,-5.67120069620103,37.8687485086861
1,-6.37124808242541,39.8587777136124
1,-4.09118111571051,38.4387751409916
1,-4.08117493887107,38.0787687370919
1,-5.24120668501583,38.6887677004676
1,-4.08117642805049,38.1687703516645
1,-6.86124243320159,39.0487570959221
1,-5.0312287464325,40.158798026156
1,-6.57127018554825,40.8487952041049
1,-3.98118820175035,38.9787862963686
1,-3.47117771678118,38.9287906590322
1,-4.10119355560299,39.1587884449298
1,-3.52117191860032,38.5287826885858
1,-3.75118850379286,39.2487938197998
1,-3.41118360170115,39.3387990934045
1,-3.72117518390747,38.4987800708311
1,-4.20118468331964,38.528775645578
1,-4.80121279265413,39.5087877626582
1,-3.89118242169257,38.7387827440943
1,-4.2111940702372,39.0687855891968
1,-4.6711947860001,38.6087722130183
1,-6.58126525770392,40.5787896351178
1,-6.46126474940855,40.6687927604333
1,-6.5812618828548,40.3987860368535
1,-5.65124639006687,40.4887979486679
1,-5.69126418646692,41.3888160314883
1,-6.64129434734582,42.0188189372162
1,-6.01127938404236,41.8588224943479
1,-6.43127624777844,41.2988060130626
1,-5.83127540760315,41.8288238388943
1,-6.53128692092879,41.748814381686
1,-6.11127594322038,41.588815634086
1,-6.55,39.54
1,-5.08,39.37
1,-2.06,39.65
1,-4.75,40
1,-5.92,39.89
1,-8.88,39.38
1,-9,38.66
1,-8.66,37.22
1,-4.25,38.03
1,-3.34,38.12
1,-3.22,38.21
1,-3.91,38.03
1,-4.47,37.93
1,-6.39,37.46
1,-4.25,38.21
1,-6.63,37.11
1,-5.67,39.62
1,-6.53,40.17
1,-6.17,40.25
1,-6.29,40.16
1,-6.41,40.17
1,-6.53,40.08
1,-5.92,39.8
1,-5.91,39.71
1,-6.07,39.8
1,-8.54,38.3
1,-4.57,36.94
1,-2.65,38.21
1,-5.44,39.45
1,-5.55,39.27
1,-7.53,37.39
1,-4.37,38.2
1,-4.75,40.09
1,-4.37,38.39
1,-5.45,36.57
1,-6.24,41.51
1,-6.19,39.8
1,-8.77,38.3
1,-8.21,37.22
1,-7.37,39.57
1,-6.01,38.950001
1,-4.5411863105412,38.2487670247359
1,-3.87118922005979,39.1587908500826
1,-4.45120325669296,39.3387881990712
1,-3.59121271952662,40.7788259693752
1,-4.11121337319291,40.2688100387383
1,-4.01121601368258,40.5188161629272
1,-4.10119824592998,39.4287936083618
1,-4.43118880241619,38.5187730690275
1,-3.9811805678058,38.5287779297276
1,-4.12118470601953,38.6187781319507
1,-4.55119408675531,38.6987751240993
1,-3.54117481295758,38.6787852572135
1,-6.53121720118651,37.9287405223193
1,-6.46121729366348,38.0087426557246
1,-7.13122218280677,37.5887283527084
1,-5.27117055447535,36.4487288390753
1,-5.47122258339732,39.3587777774968
1,-1.95116148482995,39.6888210483647
1,-6.55121554615052,37.8087382323433
1,-6.62121015437541,37.4087306750757
1,-6.36119980771623,37.0587275494107
